CORR,DESCRIPCION PROFESION/OFICIO
362,COLABORADOR JUDICIAL
363,ESPECIALISTA EN DERECHOS HUMANOS
364,DR. EN DERECHO INTERNACIONAL
365,MASTER EN DERECHOS HUMANOS
366,LIC.(A)EN DERECHO
367,MAESTRO EN DERECHO PENAL
368,ASESOR
369,MAESTRE EN DERECHO INT. PUBLICO
370,DR(A) EN CC. POLITICAS Y SOC.
371,DOCTOR EN DERECHO PRIVADO
372,HUMANIDADES
373,TEC. EN ARTES LIBERALES
374,TEC. EN BIBLIOTECOLOGIA
375,TEC. EN DEMOGRAFIA
376,LIC.(A) EN ARQUEOLOGIA
377,LIC.(A) EN FILOSOFIA
378,LIC.(A) EN IDIOMAS
379,LIC.(A) EN LETRAS
380,LIC.(A) EN TEOLOGIA
381,MS. EN TEOLOGIA
382,DR.(A) EN FILOSOFIA
383,LIC.(A) EN GEOLOGIA Y FISICA
384,ANTROPOLOGO(A)
385,TECNICO EN IDIOMAS
386,LIC. (A) EN TRADUCCION E INTERPRETACION
387,LIC. IDIOMA INGLES
388,LIC. EN EDUC. C/FUND. EN MAT. Y FISICA
389,ING. GEOLOGO
390,LIC. EN HUMANIDADES
391,PROFESORADO EN IDIOMAS
392,TEC. HISTOPATOLOGICO
393,LIC. EN DEMOGRAFIA
394,INVESTIGADOR ARQUEOLOGICO
395,DOCTOR EN SOCIOLOGIA
396,ARQUEOLOGO
397,FILOSOFO (A)
398,LIC.(A) EN BIBLIOTECOLOGIA
399,LIC.(A) EN ANTROPOLOGIA
400,TECNICO EN IDIOMA INGLES
401,TEC. OPERADOR EN WINDOWS
402,LIC.(A) EN ANTROPOLOGIA SOCIOCULTURAL
403,TEOLOGO(A)
404,TECNOLOGIA
405,TEC. AGROINDUSTRIAL
406,TEC. AUTOMOTRIZ
407,TEC. EN BIOMEDICA
408,TEC. EN COMPUTACION
409,TEC. EN CONFECCION INDUSTRIAL
410,TEC. EN ELECTRICIDAD
411,TEC. EN ELECTRONICA
412,TEC. EN INGENIERIA CIVIL
413,TEC. EN MECANICA
414,TEC. EN ORTESIS Y PROTESIS
415,TEC. EN PROCESAMIENTO DE ALIMENTOS
416,TEC. EN PRODUCCION DE RADIO Y TV
417,TEC. INDUSTRIAL
418,TEC. EN TOPOGRAFIA
419,TEC. EN ARQUITECTURA
420,TEC. EN CONSTRUCCION
421,TEC. EN DISEÑO
422,TEC. EN INGENIERIA 
423,TEC. EN RADIO Y TELEVISION
424,TEC. ANALISTA EN PROG DE SISTEMAS
425,LIC.(A) EN COMPUTACION
426,LIC.(A) EN RELACIONES INDUSTRIALES
427,ING.(A) BIOMEDICO (A)
428,ING.(A) CIVIL
429,ING.(A) EN ALIMENTOS
430,ING.(A) ELECTRICO
431,ING.(A) EN ELECTRONICA
432,ING.(A) EN COMPUTACION
433,ING.(A) INDUSTRIAL
434,ING.(A) MECANICO
435,ING.(A) CONSTRUCTOR NAVAL
436,ING.(A) HIDROGRAFICO
437,ING.(A) TEXTIL
438,TEC. EN INGENIERIA MECANICA
439,TEC. EN DESARROLLO RURAL
440,TEC. EN INGENIERIA ELECTRICA
441,TEC. EN INGENIERIA ELECTRONICA
442,ING.(A) METALURGICO
443,DOC.(A) EN INGENIERIA INDUSTRIAL
444,LIC. EN TECNOLOGIA DE ALIMENTOS
445,TEC. EN INGENIERIA INDUSTRIAL
446,TOPOGRAFO
447,ING.(A) ZOOTECNISTA
448,ING.(A) ELECTRICISTA
449,TEC. EN ING. EN SISTEMAS COMPUTACIONALES
450,ING.(A) EN SISTEMAS
451,ING.(A) EN TELECOMUNICACIONES
452,TEC. EN ELECTRONICA Y BIOMEDICA
453,INGENIERO(A)
454,TEC. EN TELEFONIA
455,TECNICO TEXTIL
456,TEC. ADMON MUNICIPAL
457,TEC. EN AUDIOLOGIA
458,TEC. EN ING. DE REF. Y AIRE ACOND.
459,TEC. EN ING. AUTOMOTRIZ
460,ING. EN CIENCIAS DE LA COMPUTACION
461,TECNOLOGO(A) INDUSTRIAL
462,LIC.(A) EN CRIMINOLOGIA
