CORR,DESCRIPCION PROFESION/OFICIO
1473,PRODUCTOR(A) DE TELEVISION
1474,QUIMICO COLORISTA
1475,TECNICO AUDIOLOGO
1476,OPERADOR PROYECCIONISTA
1477,AUXILIAR DE BODEGA
1478,TECNICO EN SISTEMA DE CONTROL
1479,LIC. EN QUIMICA INDUSTRIAL
1480,ARMADOR
1481,TECNICO DE CINE
1482,OPERARIO DE OPTICA
1483,TELEOPERADOR(A)
1484,DISPLAY
1485,CHEF INTERNACIONAL
1486,DIBUJANTE COMERCIAL PUBLICITARIO
1487,OFICIOS DOMESTICOS
1488,TEC. ARCHIVISTA Y MICROFILM
1489,PROFESOR DE DANZA
1490,TEC. EJECUTIVO EN OPER. INTERNACIONALES
1491,FOTOGRABADOR
1492,FOTOMECANICO
1493,ESTETISISTA
1494,ALTA COSTURA Y DISEÑO
1495,TEC. EN PROCESAMIENTO DE DATOS
1496,INSPECTOR DE CAMPO
1497,INGENIERO(A) COMERCIAL
1498,TEC. EN NEGOCIOS
1499,MECANICO EN ESTRUCTURAS METALICAS
1500,DISK JOCKEY
1501,SOCIOLOGO (A)
1502,DESTAZADOR(A)
1503,PERITO EN DACTILOSCOPIA
1504,LICENCIADO(A) EN ADMON. EDUCATIVA
1505,TEC. EN OBRA DE BANCO
1506,PERFUSIONISTA PRACTICO
1507,BUZO SOLDADOR
1508,ENTRENADOR DE FOOTBALL
1509,TEC. EN HOTELERIA Y TURISMO
1510,TECNICO EN REFINERIA
1511,DESTILADOR
1512,TECNICO EN INGENIERIA DE PLASTICOS
1513,PRESENTADOR DE TV
1514,HIDROGEOLOGO
1515,LOCUTOR DEPORTIVO
1516,DINAMITERO
1517,LIC. EN IDIOMA INGLES OPCION ENSEÑANZA
1518,LIC(A) CC DE EDUC CON ESP EN EDU BASICA
1519,TEC. EN ING. DE REDES COMPUTACIONALES
1520,PROFESOR(A) EN EDUCACION ARTISTICA
1521,TEC EN ING ELECTRONICA INDUSTRIAL
1522,DOCTOR (A) EN EDUCACION
1523,TECNICO EN GASTRONOMIA
1524,TECNICO EN INGENIERIA DE MECANICA DIESEL
1525,TEC (A).EN ING. DE SISTEMAS INFORMATICOS
1526,LIC.(A) EN HISTORIA
1527,LIC.(A) EN  ECONOMIA EMPRESARIAL
1528,LIC.(A) EN COMUNIC. INTEG. DE MARKETING
1529,COCINERO PROFESIONAL
1530,TECNICO(A). EN LOGISTICA Y ADUANAS
1531,TECNICO SUPERIOR EN LACTEOS Y CARNICOS
1532,MEDICINA INTERNA
1533,TECNICO EN ING. CIVIL Y CONSTRUCCION
1534,TECNICO BILINGÜE INGLES/ESPAÑOL
1535,MS EN DIDACTICA PARA LA FORMACION DOC.
1536,LIC.(A)  EN ADMON. FINANCIERA Y BANCARIA
1537,TECNICO EN INGENIERIA DE SOFTWARE
1538,TECNOLOGO(A) EN GESTION INDUSTRIAL
1539,DR.(A) EN GINECOLOGIA Y OBSTETRICIA 
1540,MTRO.(A) EN LA GESTION DE LA INNOVACION
1541,TEC.EN ING. DE LAS TELECOMUNICACIONES
1542,TECNICO EN MERCADOTECNIA
1543,LIC.(A) EN GERENCIA INFORMATICA
1544,MTRO.(A) EN GESTION DE LA CALIDAD
1545,TECNICO SUPERIOR EN LOGISTICA GLOBAL
1546,PROF.(A) EN EDUCACION FISICA Y DEPORTES
1547,ING.(A) EN SISTEMAS Y REDES INFORMATICAS
1548,TEC.ING.(A) EN SIST. Y REDES INFORMAT.
1549,LIC.(A) EN IDIOMA INGLES
1550,ING.(A)  EN SISTEMAS INFORMATICOS
1551,LIC.(A) EN TEOLOGIA C/ESP.E/MISIONOLOGIA
1552,TEC. EN MULTIMEDIA
1553,MAESTRA(O) EN DISEÑO GRAFICO
1554,TEC. EN ADMON DE EMPRESAS GASTRONOMICA
1555,TECNICO EN SALUD AMBIENTAL
1556,TECNICO SUPERIOR EN ELECTRONICA
1557,LIC(A).EN CIENCIAS DEL LENG Y LITERATURA
1558,LIC.(A) EN MERCADEO INTERNACIONAL
1559,LIC.(A) EN SALUD AMBIENTAL
1560,TECNICO BIBLIOTECOLOGO(A)
1561,MS. EN TRADUCCION. ING. ESP.- ESP. ING
1562,ING. (A) AGRONOMO C/ORIENT.PROD.AGRICOLA
1563,TECNICO EN ASISTENCIA DENTAL
1564,LIC.(A) EN C.C.DE LA EDUC.ESP.C.SOCIALES
1565,LICENCIADA EN CONTADURIA
1566,TEC. EN GESTION Y DESARROLLO TURISTICO
1567,MS. EN GESTION ESTRATEGICA DE MARKETING
1568,LIC.(A) EN DISEÑO ESTRATEGICO
1569,LIC.(A)EN ADMON DE EMPRESAS Y CONTADURIA
1570,TECNICO EN ING DE DESARROLLO DE SOFTWARE
1571,ESPECIALISTA EN CIRUGIA GENERAL
1572,ING.(A) EN LOGISTICA Y ADUANAS
1573,AUDIOLOGO
1574,PROF. (A) EN EDUCACION MEDIA TECNICA
1575,LIC(A).EN EDUC. C/E EN TEOLOGIA PASTORAL
1576,LIC.(A) EN FINANZAS EMPRESARIALES
1577,LIC.(A) EN C.EDU ESP DIR/ADMON/ESCOLAR
1578,LIC. (A) EN TURISMO
1579,ING.(A) EN ADMON DE AGRONEGOCIOS
1580,MS. EN POLITICA Y EVALUACION EDUCATIVA
1581,ESPECIALISTA EN MEDICINA PEDIATRICA
1582,LIC.(A) EN MERCADEO Y NEGOCIOS INTERNAC.
1583,PROF.(A) EDU.MED.TEC.EN E/SIST.INFORMAT
1584,PROF. (A) EDU MED TEC ESP/LOG Y ADUANAS.
1585,MAESTRO/A EN ADMINISTRACION FINANCIERA
1586,INGENIERO (A) DE NEGOCIOS
1587,MS. EN INFORMATICA APLICADA A REDES
1588,LIC.(A) ADMON GLOBAL DE NEGOCIOS
1589,LIC.(A) EN ARTES PLASTICAS OPC PINTURA
1590,LIC. (A) EN ARTES PLASTICAS OP. CERAMICA
1591,LICENCIADO (A) EN GESTION AMBIENTAL
1592,MAESTRA EN METODOS Y TEC DE INVESTIG SOC
1593,PROF. (A) EDU MED TEC EN LA ESP DE COMP.
1594,MAESTRO(A) EN ARQUITECTURA DE SOFTWARE
1595,MASTER EN SISTEMAS DE INFORMACION
1596,LIC(A) EN IDIOMAS CON ESP EN TURISMO
1597,PROF.(A) DE EDUC MEDIA ESP DE MEC AUTOM.
1598,LIC.(A) EN CIENCIAS APLICADAS
1599,TEC. EN MANTTO. Y REP. DE COMPUTADORAS
1600,PROF. (A) EDU MED TEC EN ING EN COMP.
1601,MAESTRO (A) EN GERENCIA PUBLICA Y SOCIAL
1602,MAESTRO (A) EN GERENCIA DE PROYECTOS
1603,LIC (A) EN MATEMATICA OPCION EST - COMP
1604,MAESTRO(A) EN LOGISTICA
1605,ESPECIALISTA EN GINEC. Y OBSTETRICIA
1606,MAESTRO (A) EN ASESORIA EDUCATIVA
1607,MS EN POLITICA ECON C/ENF EN ECON INTER
1608,"LIC.(A) EN TEC DE LA SALUD,TERA FIS Y RE"
1609,TECNICO(A) PROYECTISTA
1610,ASISTENTE CLINICO DE ENFERMERIA
1611,LIC (A) EN NEGOC. DE DISEÑO Y COMUNICAC.
1612,TEC. SUP. EN GESTION DE TURISMO ALTERNA.
1613,PROF. DE ENSEÑANZA MEDIA EN FILOSOFIA
1614,BORDADORA  A DOMICILIO
1615,ARZOBISPO PRIMADO
1616,LIC(A) EN ADMON DE EMP. CON ENF EN COMP.
1617,MS EN PREV DE LA VIOLENCIA Y CULT DE PAZ
1618,LIC EN ARTES PLASTICAS OPC. ESCULTURA
1619,MAESTRO (A) EN DIRECCION DE EMPRESAS
1620,MEDICO (A) CARDIOLOGO
1621,MASTER EN INGENIERIA WEB
1622,LICENCIADO EN ADMINISTRACION
1623,TEC. EN DES. EMP. Y SERV. FINANCIEROS
1624,TEC. EN DESARROLLO DE APLIC. MOVILES
1625,PROF. EN EDU.MEDIA P/ENSEÑ IDIOMA INGLE
1626,LIC(A) EN PSICOLOGIA PEDAGOGICA
1627,LIC(A). EN TRAD. E INTER. DEL IDIOMA ING
1628,PROF EDUC FIS Y DEP PARA EDUC BAS Y MED
1629,MAESTRO EN DER. PENAL CONSTITUCIONAL
1630,LIC. (A) EN GES. SOCIAL DEL DESA. LOCAL
1631,TECNICO EN LOGISTICA Y OPERACIONES
1632,ING. (A) EN AGROINDUSTRIA ALIMENTARIA
1633,MAESTRIA EST DE CULTURA CENTROAMERICANA
1634,MAESTRO (A) EN FINANZAS EMPRESARIALES
1635,MAESTRO.(A) EN DESARROLLO TERRITORIAL
1636,PROF.(A) EN EDUC. INICIAL Y PARVULARIA
1637,MAESTRO (A) EN NUEVAS TEC APLIC A LA EDU
1638,MAESTRO. (A). EN DIR. ESTRATEGICA DE EMP
1639,MAESTRO (A) EN DESA. LOCAL SOSTENIBLE
1640,MAESTRO EN DIDACTICA DEL IDIOMA INGLES
1641,LIC(A) CC. DE EDU ESP/EDU. PARV BILINGUE
1642,MASTER PROPIO EN CONFLICTOLOGIA
1643,MAESTRO(A) EN GESTION DEL MEDIO AMBIENTE
1644,LICENCIADO.(A)  EN NEUROCIENCIA
1645,TEC. EN ADMINISTRACION DE RESTAURANTES
1646,DR (A) EN INVEST E INNOVACION EDUCATIVA
1647,MAESTRO EN CONSULTORIA EMPRESARIAL
1648,MAESTRIA EN DIRECCION ESTRAT. DE RRHH
1649,PROF EDUC MEDIA ENSEÑ LETRAS Y ESTETICA
1650,TECNICO EN TURISMO SOSTENIBLE
1651,CAPITAN DE YATE
1652,MAESTRO (A) EN ANTROPOLOGIA SOCIAL
1653,ING.(A) EN LOGISTICA Y DISTRIBUCION
1654,MAESTRA EN AUDITORIA FINANCIERA
1655,MAESTRA EN AUDITORIA FINANCIERA
1656,ESPEC. EN CIRUGIA ORAL Y MAXILOFACIAL
1657,MASTER EN ADMON DEL COMERCIO INTL.
1658,LIC. ADMON DE EMP BILINGÜE EN INGLES
1659,MS EN ATENCION INTEGRAL DE 1° INFANCIA
1660,MAESTRO(A) EN DERECHO DE EMPRESA
1661,MAESTRIA EN AUDITORIA
1662,MAGISTER EN EDUCACION Y APRENDIZAJE
1663,MTRO(A) EN METDS. Y TEC. DE INVEST. SOC.
1664,DOCTORADO EN EDUCACION ESP EN MED PEDAG
1665,BACH. TEC. VOC. COM. OPCIÓN CONTADURIA
1666,LIC(A) EN GESTION Y DESARROLLO TURISTICO
1667,TECNICO ESPECIALISTA AIS
1668,ING(A) EN CONTROL ELECTRICO
1669,ESPECIALISTA EN MEDICINA INTERNA
1670,LICENCIADO(A) EN ANTROPOLOGIA SOCIAL
1671,TEC.ING ELECTRIC AUTOMATIZACION ELECTRIC
1672,MTER.EN ADMON Y DREC DE COMERC Y DISTRIB
1673,LIC (DA). EN COMUNICACION CORPORATIVA
1674,TECNICO EN SOFTWARE
1675,BACHILLER INDUSTRIAL OPCION AUTOMOTORES
1676,LIC(A) EN CONTABILIDAD Y FINANZAS
1677,MASTER INTER EN HDA PUB Y ADMON FCIERA
1678,LIC.(A) EN TECNOLOGIA DE LA INFORMACION
1679,LIC(A) EN MERCADEO BILINGÜE
1680,MAESTRO (A) EN ESTADISTICA
1681,LIC(A) EN COMUNICACIÓN CORPORATIVA
1682,MÁSTER EN GERENCIA DE MANTO. INDUSTRIAL
1683,EVANGELISTA
1684,LIC.(A) EN ECONOMIA Y SOCIOLOGIA
1685,MTRO. (A) EN CC EN GES. INGRAL. DEL AGUA
1686,LIC.(A) EN TEC DE SALUD HIGIENE Y EPIDEM
1687,MAESTRO(A) EN FILOSOFIA IBEROAMERICANA
1688,LIC (A) EN ENTRENAMIENTO DEPORTIVO
1689,LIC.(A) EN ACTIVIDAD FISICA Y SALUD
1690,TECNICA SUPERIOR EN LACTEOS Y CARNICOS
1691,MAESTRO(A) EN INFORMATICA EDUCATIVA
1692,MAESTRO (A) EN MARKETING ESTRATEGICO
1693,LIC(A) EN TECNOLOGIAS DE LA INFORMACION
1694,TECNICO (A) PROGRAMADOR EN SOFTWARE
1695,MAESTRO EN DERECHO FAMILIAR
1696,LIC(A) EN INFORM. Y ADMON. DE NEGOCIOS
1697,TECNICO ADMINISTRATIVO CONTABLE
1698,DOC EN EDU MENCION APRENDIZAJE SOCIAL
1699,LIC. EN ADMON. DE EMPRESAS AGROPECUARIAS
1700,MAESTRO EN INGENIERIA ESTRUCTURAL
1701,INGENIERO EN TELEMATICA
1702,LIC.(A) EN COMUNICACIÓN CORPORATIVA
1703,LICENCIADO(A) EN BIO ANALISIS CLINICO
1704,DR(A). EN DERECHO PRIVADO
1705,"MST GEST CURR, DIDAC Y EVAL POR COMPET."
1706,LIC.(A) EN MEDICINA HOSPITALARIA
1707,ING (A) EN GESTION DE AGRONEGOCIOS
1708,"LIC(A) EN EDUCACION, ESP. MATEMATICA"
1709,MASTER EN ESTUDIOS PROFESIONALES
1710,MTR. EN ENER. RENV. Y MEDIO AMBIENTE
1711,MAESTRIA EN ATENC A LA VIOLENC EN LA FAM
1712,MAESTRIA EN BANCA Y FINANZAS
1713,TECNICA EN GASTRONOMIA
1714,ING (A) EN ADMINISTRACION TERRITORIAL
1715,PROF. EN TEOLOGÍA PASTORAL
1716,LIC. EN CC DE LA EDUC CON ESP EN CCN
1717,BARBERA
1718,CURILERO
1719,TECNICAS DE ARSENAL QUIRURGICO
1720,TEC. ADMINISTRATIVO CONTABLE
1721,TEC GEST TECNOLOGICA DEL PATRIMONIO CULT
1722,MAESTRA EN METODOLOGIA DE INVESTIG CIENT
1723,LIC. EN RELAC. Y NEGOC. INTERNACIONALES
1724,MTRO. EN METODOLOGIA DE LA INVESTIGACION
1725,POLITICÓLOGO (A)
1726,MAESTRIA EN DOCENCIA E INVESTIGACION EDU
1727,INVESTIGADOR(A) EN CIENCIA Y TECNOLOGIA
1728,MTRO. EN METODOLOGÍA DE LA INVES. CIENT.
1729,LIC(A) EN DISEÑO GRAFICO PUBLICITARIO
1730,LIC.(A) EN EDUC. BASICA 1º Y 2º CICLOS
1731,LIC(A) EN EDUCACION INICIAL Y PARVULARIA
1732,ING(A) EN AGROALIMENTACION
1733,PROF (A) DE EDUC MED EN ORIENT EDUCATIVA
1734,LIC (A) DE EDUC MED EN ORIENT EDUCATIVA
1735,MAESTRO (A) EN MATEMATICA FUNDAMENTAL
1736,DOCTORADO EN ECONOMIA
1737,LIC (A) EN DISEÑO GRAFICO EDITORIAL
1738,TEC. EN DISEÑO GRAFICO PUBLICITARIO
1739,ING.(A) EN TELECOMUNICACIONES Y REDES
1740,MTRO(A) EN GEST. ESTRATEG. DE LA COM.
1741,MTRO(A) EN GEST. ESTRATEG. DE LA COM.
1742,PROF. EDUC.MEDIA TEC ESPEC GASTRONOMIA
1743,MAESTRO (A) EN PSICOLOGIA
1744,MAGISTER EN GOBIERNO Y GERENCIA PUBLICA
